from_year,to_year,from_phenotype_code,to_phenotype_code,n
2014,2015,P1,P1,223386
2014,2015,P2,P2,126266
2014,2015,P4,P4,43638
2014,2015,P3,P3,46971
2014,2015,P1,P3,31826
2014,2015,P4,P2,19601
2014,2015,P2,P4,19480
2014,2015,P1,P2,13504
2014,2015,P5,P5,22941
2014,2015,P5,P4,9527
2014,2015,P2,P1,8918
2014,2015,P2,P3,23882
2014,2015,P3,P1,31660
2014,2015,P2,P5,4741
2014,2015,P3,P2,25366
2014,2015,P4,P3,4729
2014,2015,P5,P3,11254
2014,2015,P5,P2,5056
2014,2015,P3,P4,3924
2014,2015,P3,P5,8128
2014,2015,P4,P5,8217
2014,2015,P5,P1,1629
2014,2015,P1,P5,1396
2014,2015,P4,P1,840
2014,2015,P1,P4,1416
