from_year,to_year,from_phenotype_code,to_phenotype_code,n
2013,2014,P1,P1,227861
2013,2014,P2,P2,123104
2013,2014,P1,P3,37258
2013,2014,P2,P1,8839
2013,2014,P3,P5,11727
2013,2014,P4,P2,17138
2013,2014,P3,P3,46337
2013,2014,P2,P4,21808
2013,2014,P2,P5,6193
2013,2014,P5,P4,9140
2013,2014,P4,P3,2736
2013,2014,P3,P2,24649
2013,2014,P4,P4,43718
2013,2014,P2,P3,24142
2013,2014,P3,P1,26769
2013,2014,P4,P5,9167
2013,2014,P3,P4,5610
2013,2014,P5,P5,23423
2013,2014,P1,P2,14368
2013,2014,P1,P4,1654
2013,2014,P5,P3,7413
2013,2014,P1,P5,2091
2013,2014,P5,P2,4182
2013,2014,P4,P1,744
2013,2014,P5,P1,1241
