from_year,to_year,from_phenotype_code,to_phenotype_code,n
2016,2017,P1,P1,74502
2016,2017,P2,P2,48578
2016,2017,P3P4_merged,P3,24147
2016,2017,P2,P3,12652
2016,2017,P3P4_merged,P1,18996
2016,2017,P2,P4,19833
2016,2017,P3P4_merged,P5,4492
2016,2017,P3P4_merged,P4,2631
2016,2017,P3P4_merged,P2,12941
2016,2017,P1,P3,6925
2016,2017,P5,P2,6638
2016,2017,P5,P3,9400
2016,2017,P1,P2,4116
2016,2017,P2,P1,8103
2016,2017,P5,P4,12025
2016,2017,P1,P5,1027
2016,2017,P5,P5,9890
2016,2017,P5,P1,1375
2016,2017,P2,P5,1799
2016,2017,P1,P4,343
