from_year,to_year,from_phenotype_code,to_phenotype_code,n
2015,2016,P2,P2,133055
2015,2016,P3,P3P4_merged,49742
2015,2016,P2,P1,18064
2015,2016,P2,P3P4_merged,29049
2015,2016,P1,P1,228279
2015,2016,P1,P3P4_merged,31439
2015,2016,P5,P3P4_merged,10483
2015,2016,P5,P5,24380
2015,2016,P5,P2,7289
2015,2016,P4,P2,45827
2015,2016,P3,P5,10153
2015,2016,P3,P2,24307
2015,2016,P3,P1,31081
2015,2016,P1,P2,9032
2015,2016,P4,P3P4_merged,7371
2015,2016,P4,P5,18468
2015,2016,P2,P5,7944
2015,2016,P4,P1,807
2015,2016,P1,P5,1258
2015,2016,P5,P1,1279
