from_year,to_year,from_phenotype_code,to_phenotype_code,n
2012,2013,P2,P3,24912
2012,2013,P1,P1,249457
2012,2013,P5,P3,9151
2012,2013,P3,P3,45910
2012,2013,P1,P3,34826
2012,2013,P2,P2,127110
2012,2013,P5,P5,22141
2012,2013,P4,P4,43819
2012,2013,P4,P2,18855
2012,2013,P4,P5,8801
2012,2013,P3,P2,24756
2012,2013,P3,P1,29411
2012,2013,P5,P2,4197
2012,2013,P1,P5,1685
2012,2013,P2,P5,5295
2012,2013,P3,P4,4661
2012,2013,P2,P4,20308
2012,2013,P2,P1,9525
2012,2013,P1,P2,15515
2012,2013,P3,P5,9659
2012,2013,P1,P4,1604
2012,2013,P4,P3,3992
2012,2013,P5,P1,1387
2012,2013,P5,P4,8710
2012,2013,P4,P1,889
