from_year,to_year,from_phenotype_code,to_phenotype_code,n
2012,2013,P1,P1,249755
2012,2013,P4,P4,43722
2012,2013,P3,P3,46404
2012,2013,P4,P2,18962
2012,2013,P5,P4,8600
2012,2013,P2,P2,126729
2012,2013,P3,P2,24762
2012,2013,P2,P4,20451
2012,2013,P2,P3,24878
2012,2013,P2,P5,5320
2012,2013,P4,P5,8691
2012,2013,P5,P5,22370
2012,2013,P3,P1,29171
2012,2013,P1,P4,1649
2012,2013,P1,P3,35277
2012,2013,P3,P5,9528
2012,2013,P2,P1,9566
2012,2013,P1,P2,15412
2012,2013,P1,P5,1598
2012,2013,P3,P4,4599
2012,2013,P4,P3,3989
2012,2013,P4,P1,877
2012,2013,P5,P3,8915
2012,2013,P5,P2,4333
2012,2013,P5,P1,1366
