from_year,to_year,from_phenotype_code,to_phenotype_code,n
2016,2017,P2,P2,48516
2016,2017,P1,P1,74629
2016,2017,P2,P1,8113
2016,2017,P5,P1,1356
2016,2017,P1,P3,6957
2016,2017,P3P4_merged,P1,19003
2016,2017,P5,P2,6525
2016,2017,P3P4_merged,P3,24150
2016,2017,P5,P3,9615
2016,2017,P2,P3,12801
2016,2017,P1,P2,4331
2016,2017,P3P4_merged,P2,13085
2016,2017,P2,P4,19839
2016,2017,P5,P5,9894
2016,2017,P5,P4,12060
2016,2017,P2,P5,1796
2016,2017,P3P4_merged,P5,4678
2016,2017,P1,P5,940
2016,2017,P3P4_merged,P4,2728
2016,2017,P1,P4,338
