from_year,to_year,from_phenotype_code,to_phenotype_code,n
2011,2012,P2,P2,146127
2011,2012,P1,P1,282607
2011,2012,P2,P4,24630
2011,2012,P1,P2,17081
2011,2012,P3P4_merged,P3,32443
2011,2012,P2,P3,39999
2011,2012,P3P4_merged,P5,28948
2011,2012,P1,P3,43260
2011,2012,P5,P4,44315
2011,2012,P5,P2,17301
2011,2012,P1,P4,1947
2011,2012,P3P4_merged,P1,11992
2011,2012,P2,P5,7878
2011,2012,P3P4_merged,P4,11259
2011,2012,P3P4_merged,P2,14775
2011,2012,P2,P1,15079
2011,2012,P1,P5,2313
2011,2012,P5,P5,8587
2011,2012,P5,P1,832
2011,2012,P5,P3,3306
