from_year,to_year,from_phenotype_code,to_phenotype_code,n
2013,2014,P2,P4,21570
2013,2014,P1,P1,227187
2013,2014,P2,P2,123116
2013,2014,P3,P1,27338
2013,2014,P5,P2,4169
2013,2014,P2,P3,24198
2013,2014,P3,P4,5654
2013,2014,P1,P2,14620
2013,2014,P5,P5,23204
2013,2014,P4,P4,43754
2013,2014,P4,P5,9141
2013,2014,P3,P3,46433
2013,2014,P4,P2,17229
2013,2014,P1,P4,1591
2013,2014,P5,P4,9252
2013,2014,P1,P3,37629
2013,2014,P3,P5,11668
2013,2014,P4,P3,2714
2013,2014,P3,P2,24714
2013,2014,P2,P1,8719
2013,2014,P5,P3,7546
2013,2014,P2,P5,6190
2013,2014,P5,P1,1225
2013,2014,P1,P5,2128
2013,2014,P4,P1,731
