from_year,to_year,from_phenotype_code,to_phenotype_code,n
2014,2015,P2,P4,19443
2014,2015,P1,P1,223384
2014,2015,P2,P1,8877
2014,2015,P2,P2,126367
2014,2015,P1,P3,31752
2014,2015,P3,P3,47328
2014,2015,P1,P2,13557
2014,2015,P5,P3,10940
2014,2015,P2,P3,24378
2014,2015,P4,P4,43501
2014,2015,P3,P2,25404
2014,2015,P5,P5,22960
2014,2015,P5,P4,9528
2014,2015,P4,P2,19592
2014,2015,P4,P3,4771
2014,2015,P3,P1,31640
2014,2015,P4,P5,8269
2014,2015,P3,P5,8022
2014,2015,P2,P5,4725
2014,2015,P1,P4,1313
2014,2015,P1,P5,1394
2014,2015,P5,P2,5150
2014,2015,P3,P4,3986
2014,2015,P5,P1,1645
2014,2015,P4,P1,846
