from_year,to_year,from_phenotype_code,to_phenotype_code,n
2015,2016,P1,P1,227906
2015,2016,P3,P3P4_merged,49996
2015,2016,P2,P3P4_merged,28816
2015,2016,P2,P2,132880
2015,2016,P5,P3P4_merged,10585
2015,2016,P3,P1,31241
2015,2016,P4,P2,45360
2015,2016,P1,P3P4_merged,31517
2015,2016,P3,P2,24530
2015,2016,P2,P1,18057
2015,2016,P5,P2,7136
2015,2016,P5,P5,24349
2015,2016,P4,P3P4_merged,7271
2015,2016,P4,P5,18523
2015,2016,P4,P1,898
2015,2016,P3,P5,10267
2015,2016,P1,P2,9225
2015,2016,P2,P5,8009
2015,2016,P5,P1,1301
2015,2016,P1,P5,1201
