from_year,to_year,from_phenotype_code,to_phenotype_code,n
2014,2015,P1,P1,222856
2014,2015,P5,P4,9658
2014,2015,P3,P2,25974
2014,2015,P3,P1,31609
2014,2015,P4,P4,43547
2014,2015,P2,P3,24272
2014,2015,P3,P3,47250
2014,2015,P5,P5,23046
2014,2015,P2,P2,126685
2014,2015,P1,P3,31505
2014,2015,P4,P2,19495
2014,2015,P1,P2,13344
2014,2015,P2,P4,19551
2014,2015,P5,P3,11029
2014,2015,P5,P1,1624
2014,2015,P3,P4,3913
2014,2015,P4,P3,4790
2014,2015,P4,P5,8391
2014,2015,P2,P1,8654
2014,2015,P1,P4,1377
2014,2015,P3,P5,8211
2014,2015,P5,P2,5189
2014,2015,P2,P5,4752
2014,2015,P1,P5,1296
2014,2015,P4,P1,854
