from_year,to_year,from_phenotype_code,to_phenotype_code,n
2011,2012,P1,P3,43389
2011,2012,P2,P2,146341
2011,2012,P5,P4,44248
2011,2012,P1,P1,281803
2011,2012,P3P4_merged,P3,32566
2011,2012,P2,P4,24664
2011,2012,P2,P1,15081
2011,2012,P3P4_merged,P5,28962
2011,2012,P2,P3,40079
2011,2012,P3P4_merged,P2,14941
2011,2012,P2,P5,7887
2011,2012,P5,P3,3386
2011,2012,P1,P5,2194
2011,2012,P1,P2,17277
2011,2012,P3P4_merged,P4,11460
2011,2012,P5,P5,8474
2011,2012,P3P4_merged,P1,11845
2011,2012,P5,P2,17077
2011,2012,P1,P4,1939
2011,2012,P5,P1,853
