from_year,to_year,from_phenotype_code,to_phenotype_code,n
2015,2016,P2,P3P4_merged,28969
2015,2016,P4,P3P4_merged,7328
2015,2016,P1,P1,227307
2015,2016,P4,P5,18662
2015,2016,P2,P2,133662
2015,2016,P4,P2,45454
2015,2016,P1,P3P4_merged,31092
2015,2016,P2,P5,7762
2015,2016,P3,P3P4_merged,50337
2015,2016,P3,P5,10039
2015,2016,P5,P3P4_merged,10585
2015,2016,P2,P1,17978
2015,2016,P3,P1,31123
2015,2016,P1,P2,9254
2015,2016,P3,P2,24158
2015,2016,P5,P5,24445
2015,2016,P5,P1,1282
2015,2016,P5,P2,7243
2015,2016,P4,P1,884
2015,2016,P1,P5,1250
