from_year,to_year,from_phenotype_code,to_phenotype_code,n
2012,2013,P1,P1,249841
2012,2013,P3,P3,46441
2012,2013,P4,P5,9007
2012,2013,P3,P2,25035
2012,2013,P2,P4,20341
2012,2013,P3,P5,9751
2012,2013,P5,P2,4205
2012,2013,P2,P2,127246
2012,2013,P1,P3,34606
2012,2013,P5,P5,22569
2012,2013,P1,P2,15445
2012,2013,P4,P4,44003
2012,2013,P4,P2,18846
2012,2013,P3,P1,29232
2012,2013,P2,P1,9589
2012,2013,P2,P3,24889
2012,2013,P5,P3,8810
2012,2013,P4,P3,3931
2012,2013,P2,P5,5173
2012,2013,P3,P4,4753
2012,2013,P5,P4,8433
2012,2013,P5,P1,1341
2012,2013,P1,P5,1639
2012,2013,P1,P4,1622
2012,2013,P4,P1,906
