model_name,training_mode,auroc,auprc,accuracy,precision,recall,specificity,f1,balanced_accuracy,brier_score,notes
centralized_logistic_baseline,"Centralized (scikit-learn, L2 logistic regression)",0.8931497902380987,0.860034240349262,0.8180266652978994,0.7780634556805501,0.79086004199813,0.8375856627343655,0.7844095625403823,0.8142228523662478,0.1302035454987968,Task 6 centralized baseline; scikit-learn saga solver; max_iter convergence warning recorded.
local_fedavg_pytorch,"Local federated simulation (PyTorch FedAvg, 20 clients, 20 rounds)",0.8929423693055175,0.8601023900186264,0.8176898202209704,0.777393623031207,0.7909596725985193,0.8369345707759029,0.7841179755433234,0.8139471216872112,0.1303785890340805,Task 8 local FedAvg simulation; not NVIDIA FLARE; not deployment-ready.
nvflare_fedavg_pytorch,"NVIDIA FLARE simulator (FedAvg, 20 clients, 20 rounds)",0.892,0.859,0.818,0.778,0.79,0.836,0.784,0.813,0.13,FLARE metrics were provided from the completed simulator run; formal Task 10 validation files were not found.
