model_id,model_name,training_mode,model_type,AUROC,AUPRC,Brier,precision_at_0_5,recall_at_0_5,specificity_at_0_5,f1_at_0_5,calibration_status,notes
enhanced_clinical_lightgbm,centralized_enhanced_clinical_lightgbm,centralized,LightGBM,0.8187743045348519,0.06629995058698315,0.14796656266907768,0.050149404183317134,0.7399734395750333,0.736161319193404,0.0939328039919756,uncalibrated,Directional comparison only; FL model architecture differs from centralized LightGBM.
enhanced_clinical_sigmoid_calibrated,centralized_enhanced_clinical_sigmoid_calibrated,centralized,LightGBM + sigmoid calibration,0.8141525033191717,0.06474259953730278,0.017658028500999196,0.0,0.0,1.0,0.0,calibrated,Directional comparison only; FL model architecture differs from centralized LightGBM.
federated_random_4_client_mlp,federated_random_4_client_pytorch_mlp_final_round,collaborative training,PyTorch MLP,0.8251311346968341,0.012999156368219172,0.18392083997530287,0.008100459070054477,0.852816153028693,0.662341320965387,0.016048423093400464,not_calibrated,Directional comparison only; FL model architecture differs from centralized LightGBM.
