probability_version,AUROC,AUPRC,Brier score,log loss,precision_at_0_5,recall_sensitivity_at_0_5,specificity_at_0_5,f1_at_0_5,predicted_probability_mean,predicted_probability_median,predicted_probability_p95,predicted_probability_p99,model_id,calibration_status
uncalibrated,0.8141525033191717,0.06474259953730278,0.13803485471537424,0.39685814838594646,0.051510921494996365,0.6956983536909187,0.758785,0.09591974958355452,0.2679365554861202,0.1658026950432146,0.743966540323731,0.8204893734077578,enhanced_clinical_lightgbm,comparison
sigmoid,0.8141525033191717,0.06474259953730278,0.017658028500999196,0.0801954560057297,0.0,0.0,1.0,0.0,0.0184652822025376,0.006144743208011129,0.0708354771233666,0.09609029243652525,enhanced_clinical_lightgbm,calibrated
isotonic,0.8140831001062134,0.062066827205358485,0.01764514098642885,0.07940146161689327,0.0,0.0,1.0,0.0,0.01844634255832305,0.008304908794305205,0.05833784515430428,0.0875763747454175,enhanced_clinical_lightgbm,comparison
federated_mlp,0.8251311346968341,0.012999156368219172,0.18392083997530287,,0.008100459070054477,0.852816153028693,0.662341320965387,0.016048423093400464,,,,,federated_random_4_client_mlp,not_calibrated
