from_year,to_year,from_phenotype_code,to_phenotype_code,n
2016,2017,P5,P4,11918
2016,2017,P1,P1,74242
2016,2017,P3P4_merged,P1,19218
2016,2017,P5,P3,9414
2016,2017,P2,P2,48739
2016,2017,P3P4_merged,P3,24025
2016,2017,P1,P5,1014
2016,2017,P5,P5,10045
2016,2017,P2,P4,19668
2016,2017,P3P4_merged,P4,2736
2016,2017,P2,P1,8256
2016,2017,P2,P3,12701
2016,2017,P3P4_merged,P2,12788
2016,2017,P5,P2,6585
2016,2017,P1,P2,4178
2016,2017,P1,P3,6839
2016,2017,P3P4_merged,P5,4514
2016,2017,P1,P4,344
2016,2017,P2,P5,1870
2016,2017,P5,P1,1427
