from_year,to_year,from_phenotype_code,to_phenotype_code,n
2014,2015,P1,P2,13651
2014,2015,P2,P2,126137
2014,2015,P1,P1,224264
2014,2015,P2,P5,4747
2014,2015,P4,P5,8183
2014,2015,P4,P4,43351
2014,2015,P2,P3,24530
2014,2015,P2,P1,8809
2014,2015,P5,P5,23055
2014,2015,P1,P3,31466
2014,2015,P3,P1,31691
2014,2015,P3,P3,47266
2014,2015,P3,P2,25439
2014,2015,P2,P4,19321
2014,2015,P5,P3,11093
2014,2015,P4,P2,19297
2014,2015,P1,P5,1377
2014,2015,P5,P2,5100
2014,2015,P4,P3,4561
2014,2015,P5,P1,1650
2014,2015,P3,P5,8078
2014,2015,P5,P4,9529
2014,2015,P3,P4,3864
2014,2015,P1,P4,1416
2014,2015,P4,P1,835
