from_year,to_year,from_phenotype_code,to_phenotype_code,n
2015,2016,P4,P5,18395
2015,2016,P3,P5,10250
2015,2016,P2,P2,133139
2015,2016,P1,P1,228797
2015,2016,P5,P2,7218
2015,2016,P3,P3P4_merged,50275
2015,2016,P3,P2,24529
2015,2016,P1,P2,9141
2015,2016,P1,P3P4_merged,31509
2015,2016,P4,P2,45538
2015,2016,P2,P1,18263
2015,2016,P5,P5,24221
2015,2016,P2,P3P4_merged,28773
2015,2016,P3,P1,31106
2015,2016,P5,P3P4_merged,10582
2015,2016,P4,P3P4_merged,7189
2015,2016,P2,P5,7818
2015,2016,P1,P5,1305
2015,2016,P5,P1,1315
2015,2016,P4,P1,816
