from_year,to_year,from_phenotype_code,to_phenotype_code,n
2013,2014,P3,P3,46290
2013,2014,P2,P1,8672
2013,2014,P1,P2,14516
2013,2014,P5,P5,23553
2013,2014,P2,P2,123304
2013,2014,P1,P1,227790
2013,2014,P3,P5,11719
2013,2014,P4,P4,43516
2013,2014,P4,P2,16918
2013,2014,P3,P2,24904
2013,2014,P2,P4,21460
2013,2014,P2,P3,24108
2013,2014,P3,P1,26928
2013,2014,P1,P3,37548
2013,2014,P5,P4,9300
2013,2014,P2,P5,6153
2013,2014,P3,P4,5554
2013,2014,P4,P5,9042
2013,2014,P5,P3,7581
2013,2014,P5,P2,4030
2013,2014,P5,P1,1222
2013,2014,P1,P5,2080
2013,2014,P4,P3,2809
2013,2014,P4,P1,725
2013,2014,P1,P4,1566
