from_year,to_year,from_phenotype_code,to_phenotype_code,n
2015,2016,P3,P2,24750
2015,2016,P1,P1,227794
2015,2016,P4,P2,45495
2015,2016,P2,P2,133477
2015,2016,P3,P1,31154
2015,2016,P1,P3P4_merged,31590
2015,2016,P3,P3P4_merged,50530
2015,2016,P5,P5,24294
2015,2016,P2,P3P4_merged,28987
2015,2016,P5,P3P4_merged,10412
2015,2016,P5,P2,7311
2015,2016,P1,P2,9164
2015,2016,P4,P3P4_merged,7352
2015,2016,P4,P5,18400
2015,2016,P2,P1,17817
2015,2016,P3,P5,10387
2015,2016,P2,P5,7817
2015,2016,P4,P1,846
2015,2016,P1,P5,1228
2015,2016,P5,P1,1320
