from_year,to_year,from_phenotype_code,to_phenotype_code,n
2014,2015,P1,P1,223583
2014,2015,P2,P2,126574
2014,2015,P4,P2,19357
2014,2015,P1,P2,13392
2014,2015,P3,P2,25417
2014,2015,P3,P3,47830
2014,2015,P4,P4,43641
2014,2015,P2,P4,19306
2014,2015,P3,P1,31613
2014,2015,P2,P3,24365
2014,2015,P5,P5,22828
2014,2015,P3,P5,8161
2014,2015,P5,P3,11084
2014,2015,P4,P1,859
2014,2015,P1,P3,31864
2014,2015,P5,P4,9515
2014,2015,P1,P5,1420
2014,2015,P2,P1,8738
2014,2015,P4,P5,8316
2014,2015,P2,P5,4684
2014,2015,P4,P3,4716
2014,2015,P3,P4,3866
2014,2015,P1,P4,1385
2014,2015,P5,P1,1658
2014,2015,P5,P2,5073
