from_year,to_year,from_phenotype_code,to_phenotype_code,n
2012,2013,P4,P4,43443
2012,2013,P2,P3,24938
2012,2013,P1,P3,34797
2012,2013,P1,P1,250198
2012,2013,P4,P5,8975
2012,2013,P3,P1,29196
2012,2013,P3,P2,24848
2012,2013,P2,P2,126869
2012,2013,P4,P3,3857
2012,2013,P5,P3,8954
2012,2013,P2,P4,20233
2012,2013,P5,P2,4307
2012,2013,P3,P3,46171
2012,2013,P1,P2,15150
2012,2013,P5,P4,8691
2012,2013,P5,P5,22242
2012,2013,P4,P2,18730
2012,2013,P2,P1,9568
2012,2013,P5,P1,1447
2012,2013,P2,P5,5323
2012,2013,P3,P5,9543
2012,2013,P1,P5,1687
2012,2013,P1,P4,1659
2012,2013,P3,P4,4668
2012,2013,P4,P1,892
