from_year,to_year,from_phenotype_code,to_phenotype_code,n
2011,2012,P2,P2,146182
2011,2012,P1,P1,282895
2011,2012,P1,P3,43346
2011,2012,P3P4_merged,P5,29064
2011,2012,P2,P3,39706
2011,2012,P3P4_merged,P4,11180
2011,2012,P3P4_merged,P2,14942
2011,2012,P2,P4,24536
2011,2012,P5,P2,17003
2011,2012,P3P4_merged,P3,32636
2011,2012,P5,P4,44131
2011,2012,P3P4_merged,P1,11699
2011,2012,P2,P5,7784
2011,2012,P5,P5,8507
2011,2012,P2,P1,15197
2011,2012,P5,P1,876
2011,2012,P1,P2,17127
2011,2012,P1,P4,1932
2011,2012,P5,P3,3370
2011,2012,P1,P5,2208
