from_year,to_year,from_phenotype_code,to_phenotype_code,n
2013,2014,P1,P1,228044
2013,2014,P3,P2,24743
2013,2014,P3,P5,11671
2013,2014,P2,P2,122697
2013,2014,P4,P2,17166
2013,2014,P4,P4,43397
2013,2014,P3,P3,46408
2013,2014,P2,P3,24138
2013,2014,P2,P4,21788
2013,2014,P3,P1,26606
2013,2014,P5,P5,23362
2013,2014,P1,P2,14794
2013,2014,P1,P4,1605
2013,2014,P2,P5,6237
2013,2014,P5,P4,9222
2013,2014,P1,P5,2068
2013,2014,P5,P3,7655
2013,2014,P4,P5,9229
2013,2014,P5,P2,4170
2013,2014,P1,P3,37545
2013,2014,P5,P1,1232
2013,2014,P3,P4,5609
2013,2014,P2,P1,8705
2013,2014,P4,P1,766
2013,2014,P4,P3,2738
