from_year,to_year,from_phenotype_code,to_phenotype_code,n,row_percent
2014,2015,P1,P1,1117473,82.34
2014,2015,P5,P4,47757,18.97
2014,2015,P3,P2,127600,21.9
2014,2015,P3,P1,158213,27.16
2014,2015,P4,P4,217678,56.66
2014,2015,P2,P3,121427,13.22
2014,2015,P3,P3,236645,40.62
2014,2015,P5,P5,114830,45.61
2014,2015,P2,P2,632029,68.83
2014,2015,P1,P3,158413,11.67
2014,2015,P4,P2,97342,25.34
2014,2015,P1,P2,67448,4.97
2014,2015,P2,P4,97101,10.58
2014,2015,P5,P3,55400,22.0
2014,2015,P5,P1,8206,3.26
2014,2015,P3,P4,19553,3.36
2014,2015,P4,P3,23567,6.13
2014,2015,P4,P5,41376,10.77
2014,2015,P2,P1,43996,4.79
2014,2015,P1,P4,6907,0.51
2014,2015,P3,P5,40600,6.97
2014,2015,P5,P2,25568,10.16
2014,2015,P2,P5,23649,2.58
2014,2015,P1,P5,6883,0.51
2014,2015,P4,P1,4234,1.1
