from_year,to_year,from_phenotype_code,to_phenotype_code,n,row_percent
2012,2013,P1,P1,1250106,82.36
2012,2013,P3,P3,231206,40.35
2012,2013,P4,P5,44362,11.64
2012,2013,P3,P2,123976,21.64
2012,2013,P2,P4,101531,10.86
2012,2013,P3,P5,48087,8.39
2012,2013,P5,P2,21323,9.36
2012,2013,P2,P2,634684,67.9
2012,2013,P1,P3,174508,11.5
2012,2013,P5,P5,111724,49.07
2012,2013,P1,P2,76774,5.06
2012,2013,P4,P4,218474,57.3
2012,2013,P4,P2,94311,24.74
2012,2013,P3,P1,146313,25.54
2012,2013,P2,P1,47779,5.11
2012,2013,P2,P3,124264,13.29
2012,2013,P5,P3,44806,19.68
2012,2013,P4,P3,19710,5.17
2012,2013,P2,P5,26419,2.83
2012,2013,P3,P4,23385,4.08
2012,2013,P5,P4,42967,18.87
2012,2013,P5,P1,6880,3.02
2012,2013,P1,P5,8278,0.55
2012,2013,P1,P4,8178,0.54
2012,2013,P4,P1,4397,1.15
