from_year,to_year,from_phenotype_code,to_phenotype_code,n,row_percent
2010,2011,P2,P2,832462,71.41
2010,2011,P1,P1,1514620,86.87
2010,2011,P5,P5,215321,59.78
2010,2011,P1,P2,126339,7.25
2010,2011,P3P4_merged,P3P4_merged,242316,49.62
2010,2011,P5,P3P4_merged,48235,13.39
2010,2011,P3P4_merged,P2,117197,24.0
2010,2011,P1,P3P4_merged,92458,5.3
2010,2011,P1,P5,10055,0.58
2010,2011,P2,P5,119754,10.27
2010,2011,P3P4_merged,P5,50455,10.33
2010,2011,P2,P3P4_merged,129289,11.09
2010,2011,P5,P2,91513,25.41
2010,2011,P2,P1,84308,7.23
2010,2011,P3P4_merged,P1,78364,16.05
2010,2011,P5,P1,5099,1.42
