from_year,to_year,from_phenotype_code,to_phenotype_code,n,row_percent
2015,2016,P2,P3P4_merged,144594,15.38
2015,2016,P4,P3P4_merged,36511,10.12
2015,2016,P1,P1,1140083,84.5
2015,2016,P4,P5,92448,25.62
2015,2016,P2,P2,666213,70.85
2015,2016,P4,P2,227674,63.09
2015,2016,P1,P3P4_merged,157147,11.65
2015,2016,P2,P5,39350,4.18
2015,2016,P3,P3P4_merged,250880,43.26
2015,2016,P3,P5,51096,8.81
2015,2016,P5,P3P4_merged,52647,24.26
2015,2016,P2,P1,90179,9.59
2015,2016,P3,P1,155705,26.85
2015,2016,P1,P2,45816,3.4
2015,2016,P3,P2,122274,21.08
2015,2016,P5,P5,121689,56.07
2015,2016,P5,P1,6497,2.99
2015,2016,P5,P2,36197,16.68
2015,2016,P4,P1,4251,1.18
2015,2016,P1,P5,6242,0.46
