from_year,to_year,from_phenotype_code,to_phenotype_code,n,row_percent
2016,2017,P2,P5,9244,2.03
2016,2017,P5,P2,32853,16.68
2016,2017,P2,P4,98866,21.69
2016,2017,P5,P4,60028,30.48
2016,2017,P1,P3,34596,7.98
2016,2017,P3P4_merged,P3,120672,38.1
2016,2017,P1,P1,371351,85.64
2016,2017,P5,P5,49560,25.16
2016,2017,P2,P2,243241,53.37
2016,2017,P3P4_merged,P1,95071,30.02
2016,2017,P5,P3,47471,24.1
2016,2017,P3P4_merged,P4,13502,4.26
2016,2017,P2,P1,41090,9.02
2016,2017,P5,P1,7056,3.58
2016,2017,P2,P3,63349,13.9
2016,2017,P1,P2,21092,4.86
2016,2017,P3P4_merged,P2,64509,20.37
2016,2017,P3P4_merged,P5,22944,7.24
2016,2017,P1,P4,1647,0.38
2016,2017,P1,P5,4930,1.14
