from_year,to_year,from_phenotype_code,to_phenotype_code,n,row_percent
2011,2012,P1,P3,217282,12.53
2011,2012,P2,P2,729823,62.54
2011,2012,P5,P4,221386,59.65
2011,2012,P1,P1,1410337,81.31
2011,2012,P3P4_merged,P3,162204,32.6
2011,2012,P2,P4,122785,10.52
2011,2012,P2,P1,75717,6.49
2011,2012,P3P4_merged,P5,144735,29.09
2011,2012,P2,P3,199504,17.09
2011,2012,P3P4_merged,P2,74468,14.97
2011,2012,P2,P5,39218,3.36
2011,2012,P5,P3,16485,4.44
2011,2012,P1,P5,11261,0.65
2011,2012,P1,P2,85898,4.95
2011,2012,P3P4_merged,P4,56750,11.41
2011,2012,P5,P5,42955,11.57
2011,2012,P3P4_merged,P1,59331,11.93
2011,2012,P5,P2,85976,23.16
2011,2012,P1,P4,9687,0.56
2011,2012,P5,P1,4347,1.17
